level,file_name,time,number_of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance
L4,2023-2-L4-2.wav,0.7164013385772705,232.0,6.0,4.0,4.0,52.6,56.0,0.9
L4,2023-2-L4-3.wav,0.7672834396362305,236.0,12.0,4.0,4.0,55.6,60.4,0.9
L2,2023-3-L2-.wav,0.6827270984649658,170.0,13.0,3.0,4.0,39.9,59.3,0.7
L2,2023-3-L2-1.wav,0.7172162532806396,201.0,22.0,3.0,4.0,45.8,60.3,0.8
L2,2023-3-L2-2.wav,0.3165414333343506,77.0,4.0,4.0,5.0,16.7,18.5,0.9
L4,2023-3-L4-.wav,0.751535177230835,167.0,24.0,3.0,5.0,33.7,59.1,0.6
L4,2023-3-L4-1.wav,0.6829032897949219,231.0,14.0,4.0,5.0,45.3,52.2,0.9
L4,2023-3-L4-2.wav,0.819303035736084,283.0,15.0,4.0,5.0,59.8,69.4,0.9
L5,2023-3-L5--.wav,0.7139956951141357,281.0,5.0,5.0,5.0,56.4,59.6,0.9
L5,2023-3-L5-.wav,0.7004721164703369,222.0,14.0,4.0,4.0,51.0,59.2,0.9
L5,2023-3-L5-1.wav,0.6501204967498779,196.0,11.0,4.0,4.0,45.9,50.6,0.9
L5,2023-3-L5-2.wav,0.7024571895599365,278.0,2.0,5.0,5.0,56.4,57.0,1.0
L5,2023-3-L5-3.wav,0.6310570240020752,182.0,11.0,4.0,4.0,43.6,47.8,0.9
L5,2023-3-L5-4.wav,1.3326897621154785,501.0,5.0,5.0,5.0,99.6,102.1,1.0
L5,2023-3-L5-5.wav,0.16652965545654297,60.0,1.0,5.0,5.0,12.6,12.9,1.0
L2,2023-4-L2--.wav,0.7335174083709717,219.0,19.0,4.0,5.0,44.4,59.2,0.7
L2,2023-4-L2-1.wav,0.3334238529205322,98.0,8.0,4.0,5.0,20.8,24.7,0.8
L2,2023-4-L2-2.wav,0.3163425922393799,116.0,7.0,5.0,6.0,19.3,23.4,0.8
L2,2023-4-L2-3.wav,0.3835749626159668,138.0,5.0,5.0,5.0,26.2,30.5,0.9
L3,2023-4-L3--.wav,0.7202315330505371,217.0,13.0,4.0,4.0,50.1,59.0,0.8
L3,2023-4-L3-.wav,0.7301511764526367,271.0,16.0,5.0,6.0,49.1,59.3,0.8
L3,2023-4-L3-1.wav,0.43317389488220215,162.0,4.0,4.0,5.0,34.1,36.5,0.9
L3,2023-4-L3-2.wav,0.48331642150878906,176.0,10.0,4.0,5.0,38.1,42.1,0.9
L3,2023-4-L3-3.wav,0.4327661991119385,138.0,6.0,4.0,4.0,31.3,35.4,0.9
L3,2023-4-L3-4.wav,0.5033221244812012,203.0,11.0,5.0,5.0,38.3,43.0,0.9
L3,2023-4-L3-5.wav,0.6130938529968262,210.0,10.0,4.0,5.0,40.0,46.8,0.9
L3,2023-4-L3-6.wav,0.46657800674438477,154.0,8.0,4.0,4.0,34.7,39.6,0.9
L3,2023-4-L3-7.wav,0.4334132671356201,163.0,6.0,4.0,5.0,32.3,36.8,0.9
L5,2023-4-L5-.wav,0.7500121593475342,254.0,8.0,4.0,5.0,54.1,59.2,0.9
